area,price/sqm,condition,status,district,type
328.0,19.817073170731707,newly renovated,new building,Mtatsminda,office
200.0,14.7,newly renovated,new building,Mtatsminda,office
207.58,12.766162443395316,newly renovated,new building,Mtatsminda,office
100.0,25.0,newly renovated,new building,Mtatsminda,commercial
100.0,24.9,newly renovated,new building,Mtatsminda,commercial
140.0,17.785714285714285,newly renovated,new building,Mtatsminda,commercial
150.0,18.6,newly renovated,new building,Mtatsminda,commercial
101.0,18.81188118811881,newly renovated,new building,Mtatsminda,commercial
115.0,26.0,newly renovated,new building,Mtatsminda,commercial
162.0,19.753086419753085,newly renovated,new building,Mtatsminda,office
185.0,12.378378378378379,newly renovated,new building,Mtatsminda,office
170.0,17.058823529411764,newly renovated,new building,Mtatsminda,commercial
114.0,14.035087719298245,newly renovated,new building,Mtatsminda,office
202.0,14.801980198019802,newly renovated,new building,Mtatsminda,commercial
280.0,17.142857142857142,newly renovated,new building,Mtatsminda,commercial
380.0,10.5,newly renovated,new building,Mtatsminda,commercial
101.0,9.801980198019802,newly renovated,new building,Mtatsminda,commercial
172.0,12.790697674418604,renovated,old building,Mtatsminda,commercial
170.0,27.058823529411764,newly renovated,new building,Mtatsminda,office
140.0,21.071428571428573,newly renovated,new building,Mtatsminda,commercial
200.0,8.75,newly renovated,old building,Mtatsminda,commercial
218.0,13.761467889908257,needs renovation,old building,Mtatsminda,commercial
124.0,15.0,green frame,old building,Mtatsminda,commercial
225.0,8.88888888888889,newly renovated,old building,Mtatsminda,commercial
390.0,9.743589743589743,newly renovated,new building,Mtatsminda,commercial
300.0,20.0,newly renovated,new building,Mtatsminda,office
162.0,17.28395061728395,newly renovated,new building,Mtatsminda,office
2400.0,16.666666666666668,renovated,new building,Mtatsminda,office
320.0,25.0,newly renovated,new building,Mtatsminda,office
560.0,11.607142857142858,newly renovated,new building,Mtatsminda,office
153.0,11.764705882352942,newly renovated,new building,Mtatsminda,commercial
220.0,22.045454545454547,newly renovated,new building,Mtatsminda,office
350.0,7.714285714285714,newly renovated,old building,Mtatsminda,office
208.0,15.865384615384615,newly renovated,new building,Mtatsminda,commercial
200.0,17.5,newly renovated,old building,Mtatsminda,office
200.0,13.0,renovated,old building,Mtatsminda,commercial
130.0,8.461538461538462,newly renovated,new building,Mtatsminda,office
460.0,20.0,green frame,new building,Mtatsminda,commercial
240.0,16.666666666666668,newly renovated,old building,Mtatsminda,office
667.0,26.986506746626688,renovated,old building,Mtatsminda,office
331.0,14.98489425981873,green frame,old building,Mtatsminda,commercial
288.0,15.0,green frame,old building,Mtatsminda,commercial
172.0,10.465116279069768,newly renovated,new building,Mtatsminda,commercial
150.0,18.666666666666668,newly renovated,new building,Mtatsminda,office
172.0,12.209302325581396,old renovated,new building,Mtatsminda,commercial
336.0,4.761904761904762,old renovated,old building,Mtatsminda,office
214.0,16.35514018691589,needs renovation,old building,Mtatsminda,commercial
250.0,26.0,old renovated,old building,Mtatsminda,commercial
472.0,13.559322033898304,newly renovated,new building,Mtatsminda,commercial
150.0,18.666666666666668,newly renovated,new building,Mtatsminda,commercial
200.0,6.0,renovated,new building,Mtatsminda,office
172.0,12.790697674418604,old renovated,old building,Mtatsminda,commercial
160.0,15.0,newly renovated,old building,Mtatsminda,commercial
300.0,16.666666666666668,newly renovated,new building,Mtatsminda,commercial
124.0,21.774193548387096,newly renovated,new building,Mtatsminda,office
172.0,12.209302325581396,newly renovated,old building,Mtatsminda,commercial
150.0,23.333333333333332,newly renovated,new building,Mtatsminda,office
175.0,21.142857142857142,newly renovated,new building,Mtatsminda,office
460.0,20.0,green frame,new building,Mtatsminda,commercial
172.0,12.209302325581396,old renovated,new building,Mtatsminda,commercial
168.0,22.023809523809526,newly renovated,new building,Mtatsminda,commercial
100.0,15.0,old renovated,new building,Mtatsminda,commercial
200.0,7.0,newly renovated,new building,Mtatsminda,commercial
153.0,9.803921568627452,newly renovated,old building,Mtatsminda,office
600.0,6.666666666666667,newly renovated,new building,Mtatsminda,office
200.0,22.0,newly renovated,new building,Mtatsminda,office
300.0,16.666666666666668,newly renovated,new building,Mtatsminda,commercial
507.0,16.962524654832347,newly renovated,new building,Mtatsminda,office
225.0,20.977777777777778,newly renovated,new building,Mtatsminda,office
200.0,10.0,newly renovated,old building,Mtatsminda,office
150.0,18.666666666666668,newly renovated,new building,Mtatsminda,commercial
220.0,11.818181818181818,old renovated,old building,Mtatsminda,commercial
170.0,11.764705882352942,newly renovated,new building,Mtatsminda,office
100.0,20.0,newly renovated,new building,Mtatsminda,office
130.0,20.76923076923077,newly renovated,new building,Mtatsminda,office
175.0,21.142857142857142,newly renovated,new building,Mtatsminda,office
168.0,22.023809523809526,newly renovated,old building,Mtatsminda,commercial
130.0,8.461538461538462,newly renovated,new building,Mtatsminda,office
150.0,26.666666666666668,newly renovated,new building,Mtatsminda,office
560.0,11.607142857142858,newly renovated,new building,Mtatsminda,office
1000.0,2.0,newly renovated,new building,Mtatsminda,office
177.0,25.028248587570623,newly renovated,new building,Mtatsminda,commercial
700.0,7.142857142857143,newly renovated,old building,Mtatsminda,commercial
133.0,11.278195488721805,newly renovated,old building,Mtatsminda,commercial
200.0,10.0,newly renovated,old building,Mtatsminda,commercial
153.0,11.764705882352942,newly renovated,old building,Mtatsminda,office
305.0,15.01639344262295,green frame,old building,Mtatsminda,commercial
350.0,20.0,renovated,old building,Mtatsminda,office
350.0,14.285714285714286,newly renovated,new building,Mtatsminda,commercial
560.0,11.607142857142858,newly renovated,new building,Mtatsminda,office
175.0,6.857142857142857,newly renovated,new building,Mtatsminda,office
360.0,10.555555555555555,newly renovated,old building,Mtatsminda,office
540.0,18.51851851851852,under renovation,old building,Mtatsminda,commercial
120.0,10.833333333333334,newly renovated,old building,Mtatsminda,office
170.0,11.176470588235293,newly renovated,new building,Mtatsminda,office
150.0,16.666666666666668,newly renovated,new building,Mtatsminda,office
200.0,15.0,newly renovated,new building,Mtatsminda,office
280.0,16.071428571428573,newly renovated,new building,Mtatsminda,office
240.0,20.833333333333332,newly renovated,new building,Mtatsminda,office
268.0,25.0,newly renovated,new building,Mtatsminda,office
104.0,28.846153846153847,old renovated,new building,Mtatsminda,commercial
360.0,18.055555555555557,newly renovated,old building,Mtatsminda,commercial
160.0,18.75,newly renovated,old building,Mtatsminda,office
170.0,11.705882352941176,newly renovated,new building,Mtatsminda,office
240.0,18.541666666666668,newly renovated,new building,Mtatsminda,office
100.0,18.9,newly renovated,new building,Mtatsminda,office
380.0,10.526315789473685,newly renovated,new building,Mtatsminda,office
149.0,9.731543624161073,newly renovated,new building,Mtatsminda,commercial
240.0,25.791666666666668,renovated,new building,Mtatsminda,commercial
200.0,7.0,renovated,old building,Mtatsminda,commercial
200.0,7.0,renovated,old building,Mtatsminda,office
150.0,18.6,newly renovated,new building,Mtatsminda,commercial
130.0,10.76923076923077,newly renovated,new building,Mtatsminda,office
175.0,21.142857142857142,newly renovated,new building,Mtatsminda,commercial
125.0,21.6,newly renovated,new building,Mtatsminda,commercial
100.0,22.0,newly renovated,new building,Mtatsminda,office
150.0,18.666666666666668,newly renovated,new building,Mtatsminda,commercial
100.0,30.0,newly renovated,old building,Mtatsminda,commercial
150.0,18.0,newly renovated,new building,Mtatsminda,commercial
200.0,8.95,renovated,old building,Mtatsminda,commercial
170.0,11.764705882352942,renovated,new building,Mtatsminda,office
170.0,11.764705882352942,newly renovated,new building,Mtatsminda,office
380.0,10.473684210526315,newly renovated,new building,Mtatsminda,office
170.0,11.764705882352942,newly renovated,old building,Mtatsminda,office
200.0,15.0,newly renovated,new building,Mtatsminda,commercial
200.0,8.75,old renovated,old building,Mtatsminda,commercial
560.0,11.607142857142858,newly renovated,new building,Mtatsminda,office
560.0,11.607142857142858,newly renovated,new building,Mtatsminda,office
300.0,16.666666666666668,newly renovated,new building,Mtatsminda,commercial
170.0,21.764705882352942,newly renovated,new building,Mtatsminda,commercial
460.0,20.0,white frame,old building,Mtatsminda,office
150.0,18.666666666666668,newly renovated,new building,Mtatsminda,commercial
170.0,11.764705882352942,newly renovated,new building,Mtatsminda,commercial
170.0,11.764705882352942,renovated,new building,Mtatsminda,office
170.0,11.764705882352942,renovated,new building,Mtatsminda,office
110.0,15.454545454545455,renovated,new building,Mtatsminda,commercial
170.0,11.764705882352942,newly renovated,new building,Mtatsminda,commercial
150.0,23.333333333333332,newly renovated,new building,Mtatsminda,commercial
188.0,9.574468085106384,newly renovated,new building,Mtatsminda,office
188.0,9.574468085106384,newly renovated,new building,Mtatsminda,office
200.0,9.25,old renovated,old building,Mtatsminda,commercial
188.0,9.574468085106384,newly renovated,new building,Mtatsminda,office
350.0,7.714285714285714,old renovated,new building,Mtatsminda,commercial
110.0,18.181818181818183,renovated,old building,Mtatsminda,commercial
188.0,9.574468085106384,newly renovated,new building,Mtatsminda,office
100.0,20.0,newly renovated,new building,Mtatsminda,office
170.0,11.764705882352942,newly renovated,new building,Mtatsminda,commercial
105.0,29.61904761904762,newly renovated,new building,Mtatsminda,commercial
188.0,9.574468085106384,newly renovated,new building,Mtatsminda,office
138.0,9.420289855072463,newly renovated,new building,Mtatsminda,office
240.0,16.666666666666668,newly renovated,new building,Mtatsminda,office
700.0,8.285714285714286,renovated,new building,Mtatsminda,commercial
170.0,17.647058823529413,renovated,old building,Mtatsminda,commercial
200.0,22.5,newly renovated,new building,Mtatsminda,office
234.0,14.957264957264957,newly renovated,new building,Mtatsminda,office
148.0,13.513513513513514,newly renovated,new building,Mtatsminda,office
150.0,16.666666666666668,newly renovated,new building,Mtatsminda,office
130.0,22.692307692307693,newly renovated,new building,Mtatsminda,commercial
200.0,10.0,newly renovated,old building,Mtatsminda,commercial
170.0,7.0588235294117645,newly renovated,old building,Mtatsminda,office
170.0,11.176470588235293,newly renovated,new building,Mtatsminda,office
700.0,10.0,newly renovated,old building,Mtatsminda,commercial
100.0,22.0,newly renovated,new building,Mtatsminda,office
202.0,19.455445544554454,newly renovated,new building,Mtatsminda,office
125.0,16.0,newly renovated,new building,Mtatsminda,office
200.0,15.0,renovated,old building,Mtatsminda,office
110.0,15.454545454545455,renovated,old building,Mtatsminda,commercial
185.0,12.432432432432432,newly renovated,old building,Mtatsminda,office
150.0,9.933333333333334,renovated,new building,Mtatsminda,office
590.0,8.813559322033898,newly renovated,new building,Mtatsminda,office
280.0,30.0,renovated,new building,Mtatsminda,office
300.0,8.333333333333334,renovated,new building,Mtatsminda,office
250.0,12.0,newly renovated,new building,Mtatsminda,commercial
507.0,19.921104536489153,renovated,new building,Mtatsminda,office
130.0,9.23076923076923,renovated,old building,Mtatsminda,office
350.0,10.0,newly renovated,new building,Mtatsminda,commercial
101.0,11.881188118811881,renovated,old building,Mtatsminda,commercial
220.0,20.0,renovated,old building,Mtatsminda,commercial
600.0,11.666666666666666,renovated,new building,Mtatsminda,commercial
400.0,12.5,under renovation,new building,Mtatsminda,commercial
300.0,20.0,renovated,new building,Mtatsminda,commercial
105.0,28.571428571428573,newly renovated,new building,Mtatsminda,commercial
200.0,8.75,old renovated,old building,Mtatsminda,commercial
360.0,18.055555555555557,newly renovated,new building,Mtatsminda,office
600.0,5.0,newly renovated,new building,Mtatsminda,commercial
153.0,11.764705882352942,newly renovated,new building,Mtatsminda,office
130.0,8.076923076923077,newly renovated,new building,Mtatsminda,office
200.0,7.4,newly renovated,new building,Mtatsminda,commercial
175.0,21.142857142857142,newly renovated,new building,Mtatsminda,office
124.0,21.774193548387096,newly renovated,new building,Mtatsminda,office
110.0,12.727272727272727,renovated,old building,Mtatsminda,office
350.0,7.714285714285714,newly renovated,new building,Mtatsminda,office
350.0,14.571428571428571,under renovation,new building,Mtatsminda,office
300.0,16.666666666666668,newly renovated,new building,Mtatsminda,commercial
560.0,9.285714285714286,newly renovated,new building,Mtatsminda,office
153.0,11.11111111111111,renovated,old building,Mtatsminda,commercial
350.0,7.142857142857143,newly renovated,new building,Mtatsminda,commercial
700.0,10.0,renovated,old building,Mtatsminda,commercial
225.0,8.88888888888889,old renovated,old building,Mtatsminda,warehouse
200.0,13.05,newly renovated,old building,Mtatsminda,commercial
1258.0,4.197138314785374,black frame,new building,Mtatsminda,commercial
150.0,20.0,newly renovated,new building,Mtatsminda,commercial
324.0,8.024691358024691,newly renovated,new building,Mtatsminda,commercial
199.0,22.613065326633166,old renovated,old building,Mtatsminda,commercial
449.0,15.590200445434299,newly renovated,new building,Mtatsminda,commercial
450.0,15.555555555555555,renovated,new building,Mtatsminda,commercial
233.0,19.742489270386265,newly renovated,new building,Mtatsminda,office
400.0,9.975,renovated,old building,Mtatsminda,office
300.0,13.333333333333334,renovated,new building,Mtatsminda,commercial
100.0,15.0,needs renovation,old building,Mtatsminda,commercial
110.0,12.727272727272727,newly renovated,old building,Mtatsminda,office
170.0,29.41176470588235,renovated,old building,Mtatsminda,commercial
208.0,14.807692307692308,renovated,old building,Mtatsminda,commercial
651.0,6.1443932411674345,old renovated,old building,Mtatsminda,commercial
220.0,11.363636363636363,newly renovated,new building,Mtatsminda,office
104.0,23.076923076923077,old renovated,new building,Mtatsminda,commercial
170.0,11.764705882352942,newly renovated,new building,Mtatsminda,office
100.0,18.0,newly renovated,old building,Mtatsminda,office
700.0,8.0,newly renovated,new building,Mtatsminda,commercial
700.0,9.971428571428572,newly renovated,old building,Mtatsminda,commercial
150.0,18.0,newly renovated,new building,Mtatsminda,commercial
130.0,7.6923076923076925,newly renovated,new building,Mtatsminda,commercial
200.0,8.75,old renovated,new building,Mtatsminda,commercial
200.0,7.5,renovated,old building,Mtatsminda,commercial
172.0,12.790697674418604,old renovated,new building,Mtatsminda,commercial
130.0,8.076923076923077,newly renovated,old building,Mtatsminda,office
130.0,9.23076923076923,newly renovated,new building,Mtatsminda,office
100.0,18.0,newly renovated,new building,Mtatsminda,commercial
115.0,17.391304347826086,old renovated,old building,Mtatsminda,office
185.0,11.891891891891891,newly renovated,new building,Mtatsminda,office
172.0,12.790697674418604,renovated,new building,Mtatsminda,commercial
100.0,22.0,newly renovated,new building,Mtatsminda,office
112.0,26.785714285714285,newly renovated,new building,Mtatsminda,commercial
200.0,15.0,newly renovated,new building,Mtatsminda,commercial
159.0,18.867924528301888,newly renovated,new building,Mtatsminda,commercial
300.0,13.333333333333334,newly renovated,new building,Mtatsminda,office
360.0,17.5,newly renovated,new building,Mtatsminda,office
172.0,12.790697674418604,newly renovated,old building,Mtatsminda,commercial
150.0,26.666666666666668,newly renovated,new building,Mtatsminda,commercial
100.0,28.0,old renovated,new building,Mtatsminda,commercial
125.0,28.0,newly renovated,old building,Mtatsminda,commercial
110.0,16.818181818181817,newly renovated,new building,Mtatsminda,office
331.16,15.007851189757217,green frame,old building,Mtatsminda,commercial
360.0,18.055555555555557,newly renovated,old building,Mtatsminda,commercial
200.0,12.5,newly renovated,old building,Mtatsminda,office
172.0,12.790697674418604,renovated,old building,Mtatsminda,commercial
185.0,11.891891891891891,newly renovated,old building,Mtatsminda,office
130.0,8.461538461538462,newly renovated,new building,Mtatsminda,commercial
185.0,10.27027027027027,newly renovated,old building,Mtatsminda,commercial
350.0,8.0,newly renovated,old building,Mtatsminda,commercial
130.0,7.3076923076923075,newly renovated,new building,Mtatsminda,office
185.0,9.72972972972973,newly renovated,old building,Mtatsminda,office
140.0,19.928571428571427,newly renovated,new building,Mtatsminda,commercial
100.0,20.0,newly renovated,new building,Mtatsminda,office
172.0,12.790697674418604,old renovated,old building,Mtatsminda,commercial
185.0,12.432432432432432,newly renovated,old building,Mtatsminda,office
350.0,7.142857142857143,newly renovated,new building,Mtatsminda,office
560.0,11.607142857142858,newly renovated,new building,Mtatsminda,office
130.0,9.23076923076923,newly renovated,new building,Mtatsminda,office
170.0,17.647058823529413,newly renovated,old building,Mtatsminda,commercial
560.0,11.607142857142858,newly renovated,new building,Mtatsminda,office
155.0,9.67741935483871,newly renovated,old building,Mtatsminda,office
190.0,9.473684210526315,newly renovated,new building,Mtatsminda,office
130.0,7.3076923076923075,newly renovated,new building,Mtatsminda,office
153.0,9.803921568627452,newly renovated,old building,Mtatsminda,commercial
350.0,7.142857142857143,newly renovated,old building,Mtatsminda,commercial
100.0,12.0,newly renovated,old building,Mtatsminda,office
300.0,13.333333333333334,newly renovated,new building,Mtatsminda,commercial
130.0,7.6923076923076925,newly renovated,old building,Mtatsminda,office
159.0,18.867924528301888,newly renovated,old building,Mtatsminda,office
150.0,13.333333333333334,newly renovated,old building,Mtatsminda,commercial
200.0,15.0,newly renovated,new building,Mtatsminda,office
700.0,9.857142857142858,newly renovated,old building,Mtatsminda,commercial
200.0,16.0,newly renovated,new building,Mtatsminda,commercial
460.0,20.0,needs renovation,new building,Mtatsminda,commercial
200.0,15.0,newly renovated,new building,Mtatsminda,office
185.0,10.27027027027027,newly renovated,old building,Mtatsminda,office
200.0,15.0,renovated,new building,Mtatsminda,commercial
200.0,15.0,newly renovated,old building,Mtatsminda,commercial
200.0,9.25,renovated,new building,Mtatsminda,commercial
207.0,9.66183574879227,newly renovated,new building,Mtatsminda,commercial
110.0,16.363636363636363,renovated,new building,Mtatsminda,commercial
172.0,11.627906976744185,renovated,old building,Mtatsminda,commercial
101.0,8.445544554455445,newly renovated,new building,Mtatsminda,commercial
170.0,11.764705882352942,newly renovated,old building,Mtatsminda,office
110.0,16.363636363636363,needs renovation,old building,Mtatsminda,commercial
140.0,15.714285714285714,renovated,old building,Mtatsminda,office
185.0,10.81081081081081,newly renovated,old building,Mtatsminda,office
150.0,20.0,newly renovated,new building,Mtatsminda,commercial
155.0,9.67741935483871,newly renovated,old building,Mtatsminda,commercial
350.0,7.142857142857143,newly renovated,old building,Mtatsminda,commercial
172.0,12.790697674418604,newly renovated,new building,Mtatsminda,commercial
350.0,7.142857142857143,newly renovated,new building,Mtatsminda,commercial
153.0,9.803921568627452,newly renovated,old building,Mtatsminda,office
350.0,7.142857142857143,newly renovated,old building,Mtatsminda,office
185.0,10.54054054054054,newly renovated,old building,Mtatsminda,office
130.0,8.461538461538462,newly renovated,old building,Mtatsminda,office
100.0,20.0,newly renovated,new building,Mtatsminda,commercial
180.0,12.777777777777779,renovated,old building,Mtatsminda,commercial
172.0,12.790697674418604,renovated,old building,Mtatsminda,commercial
150.0,16.666666666666668,newly renovated,new building,Mtatsminda,office
380.0,10.526315789473685,newly renovated,new building,Mtatsminda,office
153.0,11.437908496732026,newly renovated,new building,Mtatsminda,office
185.0,10.81081081081081,newly renovated,old building,Mtatsminda,commercial
180.0,9.444444444444445,newly renovated,new building,Mtatsminda,commercial
100.0,20.0,renovated,old building,Mtatsminda,commercial
200.0,15.0,newly renovated,new building,Mtatsminda,commercial
172.0,12.790697674418604,old renovated,old building,Mtatsminda,commercial
700.0,7.828571428571428,newly renovated,old building,Mtatsminda,commercial
400.0,20.0,renovated,old building,Mtatsminda,office
312.0,14.423076923076923,newly renovated,new building,Mtatsminda,office
170.0,15.0,renovated,old building,Mtatsminda,office
135.0,14.814814814814815,newly renovated,new building,Mtatsminda,office
150.0,18.6,newly renovated,new building,Mtatsminda,commercial
185.0,11.891891891891891,newly renovated,new building,Mtatsminda,office
185.0,11.891891891891891,newly renovated,old building,Mtatsminda,office
300.0,20.0,newly renovated,new building,Mtatsminda,office
172.0,12.790697674418604,renovated,old building,Mtatsminda,commercial
110.0,27.272727272727273,renovated,new building,Mtatsminda,commercial
350.0,14.285714285714286,newly renovated,new building,Mtatsminda,commercial
100.0,19.0,renovated,new building,Mtatsminda,office
163.0,18.404907975460123,newly renovated,new building,Mtatsminda,office
100.0,20.0,newly renovated,new building,Mtatsminda,office
141.0,14.184397163120567,newly renovated,new building,Mtatsminda,commercial
168.0,22.023809523809526,renovated,new building,Mtatsminda,commercial
100.0,15.0,under renovation,old building,Mtatsminda,commercial
130.0,8.461538461538462,newly renovated,new building,Mtatsminda,office
300.0,13.333333333333334,old renovated,old building,Mtatsminda,commercial
208.0,15.865384615384615,newly renovated,new building,Mtatsminda,commercial
100.0,12.0,old renovated,new building,Mtatsminda,office
560.0,9.642857142857142,newly renovated,new building,Mtatsminda,office
350.0,7.714285714285714,newly renovated,new building,Mtatsminda,office
172.0,12.790697674418604,old renovated,old building,Mtatsminda,commercial
270.0,11.11111111111111,renovated,new building,Mtatsminda,commercial
150.0,20.0,newly renovated,new building,Mtatsminda,office
700.0,14.285714285714286,newly renovated,new building,Mtatsminda,commercial
700.0,14.285714285714286,newly renovated,new building,Mtatsminda,office
280.0,23.214285714285715,newly renovated,new building,Mtatsminda,office
110.0,27.272727272727273,newly renovated,new building,Mtatsminda,office
302.0,19.867549668874172,newly renovated,new building,Mtatsminda,commercial
153.0,11.764705882352942,newly renovated,old building,Mtatsminda,office
172.0,11.627906976744185,needs renovation,old building,Mtatsminda,commercial
220.0,16.363636363636363,newly renovated,old building,Mtatsminda,commercial
150.0,14.666666666666666,old renovated,new building,Mtatsminda,office
350.0,8.257142857142858,newly renovated,old building,Mtatsminda,office
200.0,9.25,old renovated,old building,Mtatsminda,commercial
150.0,11.333333333333334,newly renovated,old building,Mtatsminda,commercial
150.0,18.666666666666668,newly renovated,new building,Mtatsminda,office
170.0,12.941176470588236,newly renovated,new building,Mtatsminda,commercial
130.0,8.615384615384615,newly renovated,old building,Mtatsminda,commercial
560.0,8.928571428571429,newly renovated,new building,Mtatsminda,office
130.0,11.384615384615385,newly renovated,new building,Mtatsminda,office
170.0,8.235294117647058,newly renovated,new building,Mtatsminda,office
185.0,11.891891891891891,newly renovated,old building,Mtatsminda,office
225.0,8.88888888888889,newly renovated,new building,Mtatsminda,office
200.0,10.0,newly renovated,new building,Mtatsminda,office
225.0,8.88888888888889,newly renovated,old building,Mtatsminda,office
300.0,20.0,newly renovated,new building,Mtatsminda,office
110.0,18.181818181818183,newly renovated,new building,Mtatsminda,office
100.0,20.0,newly renovated,new building,Mtatsminda,commercial
153.0,11.764705882352942,renovated,old building,Mtatsminda,commercial
360.0,18.055555555555557,newly renovated,old building,Mtatsminda,office
300.0,10.0,renovated,old building,Mtatsminda,commercial
130.0,9.23076923076923,newly renovated,new building,Mtatsminda,office
560.0,11.607142857142858,newly renovated,new building,Mtatsminda,commercial
200.0,17.0,newly renovated,old building,Mtatsminda,commercial
140.0,20.714285714285715,newly renovated,new building,Mtatsminda,commercial
100.0,20.0,newly renovated,old building,Mtatsminda,office
160.0,16.875,renovated,old building,Mtatsminda,commercial
149.0,26.845637583892618,needs renovation,old building,Mtatsminda,commercial
350.0,8.0,newly renovated,new building,Mtatsminda,commercial
200.0,22.0,newly renovated,new building,Mtatsminda,office
200.0,17.5,newly renovated,new building,Mtatsminda,office
130.0,8.461538461538462,newly renovated,new building,Mtatsminda,office
170.0,11.764705882352942,newly renovated,old building,Mtatsminda,office
153.0,11.764705882352942,newly renovated,old building,Mtatsminda,commercial
143.0,12.587412587412587,renovated,new building,Mtatsminda,office
100.0,22.0,newly renovated,old building,Mtatsminda,office
149.0,26.778523489932887,renovated,new building,Mtatsminda,commercial
565.0,8.849557522123893,newly renovated,old building,Mtatsminda,commercial
450.0,4.444444444444445,renovated,old building,Mtatsminda,office
900.0,11.777777777777779,newly renovated,new building,Mtatsminda,commercial
900.0,11.777777777777779,newly renovated,new building,Mtatsminda,office
700.0,7.857142857142857,newly renovated,old building,Mtatsminda,commercial
860.0,27.906976744186046,newly renovated,new building,Mtatsminda,office
450.0,14.444444444444445,newly renovated,new building,Mtatsminda,office
880.0,12.5,newly renovated,new building,Mtatsminda,commercial
120.0,12.5,newly renovated,old building,Mtatsminda,commercial
300.0,12.666666666666666,newly renovated,new building,Mtatsminda,office
651.0,6.1443932411674345,renovated,old building,Mtatsminda,commercial
172.0,12.790697674418604,renovated,old building,Mtatsminda,commercial
328.0,20.0,newly renovated,old building,Mtatsminda,office
130.0,8.461538461538462,renovated,old building,Mtatsminda,commercial
160.0,16.875,newly renovated,new building,Mtatsminda,commercial
130.0,8.076923076923077,newly renovated,old building,Mtatsminda,office
200.0,15.0,newly renovated,new building,Mtatsminda,commercial
450.0,14.444444444444445,newly renovated,new building,Mtatsminda,commercial
880.0,12.5,newly renovated,new building,Mtatsminda,office
300.0,12.666666666666666,newly renovated,new building,Mtatsminda,office
102.0,7.8431372549019605,newly renovated,old building,Mtatsminda,office
152.0,11.842105263157896,newly renovated,old building,Mtatsminda,office
290.0,20.0,newly renovated,new building,Mtatsminda,office
380.0,11.842105263157896,renovated,new building,Mtatsminda,office
120.0,16.666666666666668,renovated,old building,Mtatsminda,commercial
560.0,11.607142857142858,newly renovated,new building,Mtatsminda,commercial
290.0,20.0,newly renovated,new building,Mtatsminda,office
150.0,10.0,renovated,old building,Mtatsminda,office
120.0,7.5,newly renovated,old building,Mtatsminda,office
200.0,10.0,newly renovated,new building,Mtatsminda,warehouse
100.0,15.0,renovated,old building,Mtatsminda,commercial
150.0,23.333333333333332,newly renovated,new building,Mtatsminda,office
240.0,20.833333333333332,newly renovated,old building,Mtatsminda,office
172.0,12.790697674418604,newly renovated,old building,Mtatsminda,commercial
200.0,11.9,old renovated,old building,Mtatsminda,commercial
300.0,6.666666666666667,newly renovated,old building,Mtatsminda,office
185.0,11.891891891891891,newly renovated,old building,Mtatsminda,office
161.0,11.801242236024844,newly renovated,old building,Mtatsminda,office
320.0,25.0,newly renovated,new building,Mtatsminda,office
400.0,16.25,under renovation,new building,Mtatsminda,commercial
100.0,15.0,newly renovated,old building,Mtatsminda,commercial
380.0,30.0,renovated,new building,Mtatsminda,office
280.0,28.0,renovated,new building,Mtatsminda,office
2200.0,9.636363636363637,renovated,old building,Mtatsminda,office
280.0,7.142857142857143,renovated,old building,Mtatsminda,commercial
328.0,20.0,renovated,new building,Mtatsminda,office
450.0,15.555555555555555,newly renovated,new building,Mtatsminda,commercial
130.0,23.076923076923077,newly renovated,new building,Mtatsminda,office
910.0,16.483516483516482,newly renovated,new building,Mtatsminda,commercial
101.0,8.811881188118813,newly renovated,new building,Mtatsminda,commercial
208.0,14.807692307692308,old renovated,old building,Mtatsminda,commercial
180.0,11.11111111111111,renovated,new building,Mtatsminda,office
159.0,18.867924528301888,newly renovated,old building,Mtatsminda,commercial
150.0,19.133333333333333,newly renovated,new building,Mtatsminda,office
150.0,18.666666666666668,newly renovated,new building,Mtatsminda,commercial
435.0,14.942528735632184,needs renovation,new building,Mtatsminda,office
150.0,16.666666666666668,under renovation,old building,Mtatsminda,office
700.0,10.0,newly renovated,old building,Mtatsminda,commercial
130.0,8.076923076923077,newly renovated,new building,Mtatsminda,office
110.0,11.727272727272727,renovated,old building,Mtatsminda,warehouse
800.0,4.375,newly renovated,new building,Mtatsminda,office
130.0,8.461538461538462,newly renovated,new building,Mtatsminda,commercial
150.0,11.6,newly renovated,new building,Mtatsminda,commercial
110.0,11.818181818181818,renovated,new building,Mtatsminda,office
100.0,17.6,newly renovated,new building,Mtatsminda,commercial
325.0,15.384615384615385,needs renovation,old building,Mtatsminda,commercial
325.0,15.384615384615385,needs renovation,old building,Mtatsminda,office
105.0,13.333333333333334,renovated,old building,Mtatsminda,office
159.0,18.867924528301888,newly renovated,old building,Mtatsminda,office
172.0,12.790697674418604,newly renovated,old building,Mtatsminda,commercial
460.0,20.0,green frame,old building,Mtatsminda,office
105.0,28.476190476190474,newly renovated,new building,Mtatsminda,commercial
472.0,13.771186440677965,newly renovated,new building,Mtatsminda,commercial
130.0,15.384615384615385,newly renovated,new building,Mtatsminda,commercial
472.0,13.771186440677965,newly renovated,new building,Mtatsminda,commercial
200.0,17.5,newly renovated,new building,Mtatsminda,office
700.0,5.714285714285714,renovated,old building,Mtatsminda,commercial
185.0,11.891891891891891,newly renovated,old building,Mtatsminda,commercial
100.0,17.5,newly renovated,old building,Mtatsminda,office
200.0,9.5,newly renovated,old building,Mtatsminda,office
